X,Y,fid,New Name,Lon,Lat,Path,RelPath,Images,File Name Old,Name,Category,Location,Address,Year of Installation,Medium,Installation & Maintenance,Artist,Other Details,Latitude,Longitude,layer,icon_url
77.5824704997222,12.9844612997222,"37",043.jpg,77.5824704997222,12.9844612997222,D:/Research Grant/Images First Batch\043.jpg,./Images First Batch/043.jpg,"<img src = ""./Images First Batch/043.jpg"" width=""300"" height=""225""/>",20210822_082345,Jayachamarajendra Wodeyar ,Politics,Traffic island ,Hare Krishna road and race Course road junction ,"2019",,Kannada Maneya Kaavalugaarara Pade ,,,,,First Batch Statues and Sculptures,./0.png
77.5483444997222,13.0061233997222,"38",044.jpg,77.5483444997222,13.0061233997222,D:/Research Grant/Images First Batch\044.jpg,./Images First Batch/044.jpg,"<img src = ""./Images First Batch/044.jpg"" width=""300"" height=""225""/>",20220809_104130,Jayachamarajendra Wodeyar ,Politics,Street corner,"Karyasiddhhi Mahaganapathi Temple, Pipeline Road, Bovipalya, Rajajinagara","2000",Stone,Vinayaka Bhakta Mandali,,,,,First Batch Statues and Sculptures,./0.png
77.5633794997222,12.9439089,"39",045.jpg,77.5633794997222,12.9439089,D:/Research Grant/Images First Batch\045.jpg,./Images First Batch/045.jpg,"<img src = ""./Images First Batch/045.jpg"" width=""300"" height=""225""/>",20220812_140450,A N Subbarao ,Cultural ,Public building,"Kalamandira School of Arts, Hanumanthanagara",,Bronze,Kalamandira School of Arts,Chalapathi,,,,First Batch Statues and Sculptures,./0.png
77.5634074,12.9439104997222,"40",046.jpg,77.5634074,12.9439104997222,D:/Research Grant/Images First Batch\046.jpg,./Images First Batch/046.jpg,"<img src = ""./Images First Batch/046.jpg"" width=""300"" height=""225""/>",20220812_140406,A S Murthy,Cultural ,Public building,"Kalamandira School of Arts, Hanumanthanagara",,Bronze,Kalamandira School of Arts,Chalapathi,,,,First Batch Statues and Sculptures,./0.png
77.5351006,12.9768223,"41",047.jpg,77.5351006,12.9768223,D:/Research Grant/Images First Batch\047.jpg,./Images First Batch/047.jpg,"<img src = ""./Images First Batch/047.jpg"" width=""300"" height=""225""/>",20220916_173923,Kanaka Dasa,Cultural / Religious,Park,"Kanakagiri Udyana, Govindaraja nagara, Vijayanagara","2010",,BBMP,,,,,First Batch Statues and Sculptures,./0.png
77.5675209,12.9570807,"42",048.jpg,77.5675209,12.9570807,D:/Research Grant/Images First Batch\048.jpg,./Images First Batch/048.jpg,"<img src = ""./Images First Batch/048.jpg"" width=""300"" height=""225""/>",20220524_131416,DV Gundappa,Cultural ,Street corner,"5th main road, Bull temple road, Kempegowda nagara","2012",,TAP Nagaraj and family,,,,,First Batch Statues and Sculptures,./0.png
77.5350087,12.9766413,"43",049.jpg,77.5350087,12.9766413,D:/Research Grant/Images First Batch\049.jpg,./Images First Batch/049.jpg,"<img src = ""./Images First Batch/049.jpg"" width=""300"" height=""225""/>",20211210_073154,Kannada poets and Cultural icons,Cultural ,Park,"Kanakagiri Udyana, Govindaraja nagara, Vijayanagara","2010",,BBMP,,,,,First Batch Statues and Sculptures,./0.png
77.582755,12.9787744,"44",050.jpg,77.582755,12.9787744,D:/Research Grant/Images First Batch\050.jpg,./Images First Batch/050.jpg,"<img src = ""./Images First Batch/050.jpg"" width=""300"" height=""225""/>",20220823_114520,KV Puttappa (Kuvempu) ,Cultural ,Park,"Freedom Park, Sheshadri road","2012",Bronze,"Kannada Sahitya Parishat, Bangalore Chapter",,,,,First Batch Statues and Sculptures,./0.png
77.5451644,12.9674241997222,"45",051.jpg,77.5451644,12.9674241997222,D:/Research Grant/Images First Batch\051.jpg,./Images First Batch/051.jpg,"<img src = ""./Images First Batch/051.jpg"" width=""300"" height=""225""/>",20220828_094604,KV Puttappa (Kuvempu) ,Cultural ,Street corner,"Hampinagara, Vijayanagara ","2011",,Shree Kuvempu Kannada Yuvakara Sangha,,,,,First Batch Statues and Sculptures,./0.png
77.5794393,12.9480436997222,"46",052.jpg,77.5794393,12.9480436997222,D:/Research Grant/Images First Batch\052.jpg,./Images First Batch/052.jpg,"<img src = ""./Images First Batch/052.jpg"" width=""300"" height=""225""/>",20220821_070421,KV Puttappa (Kuvempu) ,Cultural ,Park,"Lalbagh West gate, RV road",,,,Kanaka Murthy,,,,First Batch Statues and Sculptures,./0.png
77.5713875,12.9966825997222,"47",053.jpg,77.5713875,12.9966825997222,D:/Research Grant/Images First Batch\053.jpg,./Images First Batch/053.jpg,"<img src = ""./Images First Batch/053.jpg"" width=""300"" height=""225""/>",20220424_084113,KV Puttappa (Kuvempu) ,Cultural ,Traffic island ,5th cross Malleshwaram and Sampige road junction,"2014",Bronze,Karnataka Rakshana Vedike,,,,,First Batch Statues and Sculptures,./0.png
77.5695168,12.9540824,"48",054.jpg,77.5695168,12.9540824,D:/Research Grant/Images First Batch\054.jpg,./Images First Batch/054.jpg,"<img src = ""./Images First Batch/054.jpg"" width=""300"" height=""225""/>",20220821_090922,KV Puttappa (Kuvempu) ,Cultural ,Street corner,"Opp Brahmin's coffee bar, Shanakarapura","2005",,Kannada Katte,,,,,First Batch Statues and Sculptures,./0.png
77.5464771,12.9977429997222,"49",055.jpg,77.5464771,12.9977429997222,D:/Research Grant/Images First Batch\055.jpg,./Images First Batch/055.jpg,"<img src = ""./Images First Batch/055.jpg"" width=""300"" height=""225""/>",20220610_111553,Kaveri,Cultural ,Street corner,"Modi Hospital road, Rajajainagara","2003",,Kaveri Kanndigara Vedike,,,,,First Batch Statues and Sculptures,./0.png
77.5414762997222,12.9530978,"50",056.jpg,77.5414762997222,12.9530978,D:/Research Grant/Images First Batch\056.jpg,./Images First Batch/056.jpg,"<img src = ""./Images First Batch/056.jpg"" width=""300"" height=""225""/>",20220828_104410,Kempegowda,Cultural /Politics,Street corner,"Bapujinagara, Mysore road","2021",,Vishwa Okkaligara Okkuta,,,,,First Batch Statues and Sculptures,./0.png
77.5871722222222,12.966175,"51",057.JPG,77.5871722222222,12.966175,D:/Research Grant/Images First Batch\057.JPG,./Images First Batch/057.JPG,"<img src = ""./Images First Batch/057.JPG"" width=""300"" height=""225""/>",,,,,,,,,,,,,First Batch Statues and Sculptures,./0.png
77.5629028997222,12.9490919,"52",058.jpg,77.5629028997222,12.9490919,D:/Research Grant/Images First Batch\058.jpg,./Images First Batch/058.jpg,"<img src = ""./Images First Batch/058.jpg"" width=""300"" height=""225""/>",20220524_130908,Kempegowda,Cultural /Politics,Traffic island ,"Kempegowda Circle, Gavipura, Kempegowdanagara",,,,,,,,First Batch Statues and Sculptures,./0.png
77.5740152222222,12.9571476944444,"53",059.jpg,77.5740152222222,12.9571476944444,D:/Research Grant/Images First Batch\059.jpg,./Images First Batch/059.jpg,"<img src = ""./Images First Batch/059.jpg"" width=""300"" height=""225""/>",IMG_20200217_171524,Kempegowda,Cultural /Politics,Traffic island ,"Kempehowda Institute of Medical Sciences corner, KR road",,Bronze,,,,,,First Batch Statues and Sculptures,./0.png
77.5459141,12.9914428997222,"54",060.jpg,77.5459141,12.9914428997222,D:/Research Grant/Images First Batch\060.jpg,./Images First Batch/060.jpg,"<img src = ""./Images First Batch/060.jpg"" width=""300"" height=""225""/>",20200729_070431,Kempegowda,Cultural /Politics,Street corner,"Thimmayya Road, Basaweshwaranagara",,,Nadaprabhu Sri Kempegowda Kannada Abhimanigala Sangha,,,,,First Batch Statues and Sculptures,./0.png
77.5481584997222,12.9752367997222,"55",061.jpg,77.5481584997222,12.9752367997222,D:/Research Grant/Images First Batch\061.jpg,./Images First Batch/061.jpg,"<img src = ""./Images First Batch/061.jpg"" width=""300"" height=""225""/>",20220401_070313,Kempegowda,Cultural /Politics,Traffic island ,"Toll gate, Magadi road",,,Nada Senani Kempegowda Seva Trust,,,,,First Batch Statues and Sculptures,./0.png
77.537322,12.9756326,"56",062.jpg,77.537322,12.9756326,D:/Research Grant/Images First Batch\062.jpg,./Images First Batch/062.jpg,"<img src = ""./Images First Batch/062.jpg"" width=""300"" height=""225""/>",20220828_085849,Kempegowda,Cultural /Politics,Public building,"BBMP office,  Govindarajanagara ward,  Vijayanagara","2018",,BBMP,,,,,First Batch Statues and Sculptures,./0.png
77.5539842,13.0153168,"57",063.jpg,77.5539842,13.0153168,D:/Research Grant/Images First Batch\063.jpg,./Images First Batch/063.jpg,"<img src = ""./Images First Batch/063.jpg"" width=""300"" height=""225""/>",20220424_090655,Kempegowda,Cultural /Politics,Traffic island ,Pune Bangalore high way near Sandal soap factory metro stop ,"2018",,BBMP,,,,,First Batch Statues and Sculptures,./0.png
77.5851765997222,12.9636385997222,"58",064.jpg,77.5851765997222,12.9636385997222,D:/Research Grant/Images First Batch\064.jpg,./Images First Batch/064.jpg,"<img src = ""./Images First Batch/064.jpg"" width=""300"" height=""225""/>",20220923_084418,Kittur Rani Chennamma,Cultural /Politics,Memorial Park ,Adjacent to Puttanna Chetty Purabhavana,,Bronze,,,,,,First Batch Statues and Sculptures,./0.png
77.5848555997222,12.9527864,"59",065.jpg,77.5848555997222,12.9527864,D:/Research Grant/Images First Batch\065.jpg,./Images First Batch/065.jpg,"<img src = ""./Images First Batch/065.jpg"" width=""300"" height=""225""/>",20220213_080519,Chamaraja Wodeyar,Cultural /Politics,Park,Lal Bagh,"1908",Bronze,Myspre Princely State,,,,,First Batch Statues and Sculptures,./0.png
77.5850695997222,12.9532485,"60",066.jpg,77.5850695997222,12.9532485,D:/Research Grant/Images First Batch\066.jpg,./Images First Batch/066.jpg,"<img src = ""./Images First Batch/066.jpg"" width=""300"" height=""225""/>",20220821_080056,Dr. MH Marigowda,Cultural ,Park,Lal Bagh,"1993",Bronze,Dept of Horticulture,,,,,First Batch Statues and Sculptures,./0.png
77.5934354,12.9772037997222,"61",067.jpg,77.5934354,12.9772037997222,D:/Research Grant/Images First Batch\067.jpg,./Images First Batch/067.jpg,"<img src = ""./Images First Batch/067.jpg"" width=""300"" height=""225""/>",20200314_081812,Lion ,Historic,Park,Cubbon Park ,,,,,,,,First Batch Statues and Sculptures,./0.png
77.5554019,12.9644107,"62",068.jpg,77.5554019,12.9644107,D:/Research Grant/Images First Batch\068.jpg,./Images First Batch/068.jpg,"<img src = ""./Images First Batch/068.jpg"" width=""300"" height=""225""/>",20220828_095150,Lion ,Cultural,Park,Babu Jagajivanaram Nagara park,,,,,,,,First Batch Statues and Sculptures,./0.png
77.576834,12.9401863997222,"63",069.jpg,77.576834,12.9401863997222,D:/Research Grant/Images First Batch\069.jpg,./Images First Batch/069.jpg,"<img src = ""./Images First Batch/069.jpg"" width=""300"" height=""225""/>",20220213_090858 Dakshina kesari,Lion / Dakshina Kesari,Historic,Traffic island ,"Armugam circle, Basavanagudi",,Cement,,,,,,First Batch Statues and Sculptures,./0.png
77.5850195,12.9937523,"64",070.jpg,77.5850195,12.9937523,D:/Research Grant/Images First Batch\070.jpg,./Images First Batch/070.jpg,"<img src = ""./Images First Batch/070.jpg"" width=""300"" height=""225""/>",20220114_115321,Lion / Make in India symbol,Historic,Traffic island ,"Make in India circle, Highgrounds, near ","2021",Metal ,BBMP,,,,,First Batch Statues and Sculptures,./0.png
77.5412223997222,12.953207,"65",071.jpg,77.5412223997222,12.953207,D:/Research Grant/Images First Batch\071.jpg,./Images First Batch/071.jpg,"<img src = ""./Images First Batch/071.jpg"" width=""300"" height=""225""/>",20220828_104504,Mahatyagi Lakshmi,Historic,Street corner,"Bapujinagara, Mysore road","2021",Fiber glass,Vishwa Okkaligara Okkuta,,,,,First Batch Statues and Sculptures,./0.png
77.606971,12.9717406997222,"66",072.jpg,77.606971,12.9717406997222,D:/Research Grant/Images First Batch\072.jpg,./Images First Batch/072.jpg,"<img src = ""./Images First Batch/072.jpg"" width=""300"" height=""225""/>",20220206_123006,Sapper War memorial,Historic,Traffic island ,"Brigade road, Shantala Nagar","1928",Stone,,,,,,First Batch Statues and Sculptures,./0.png
77.5817076,12.9889080997222,"67",074.jpg,77.5817076,12.9889080997222,D:/Research Grant/Images First Batch\074.jpg,./Images First Batch/074.jpg,"<img src = ""./Images First Batch/074.jpg"" width=""300"" height=""225""/>",20220114_105323,Prof MS Nanjunda Rao,Cultural,Public building,"Karanataka Chitrakala Parishath, Kumara Krupa Road",,Bronze,Karanataka Chitrakala Parishath,,,,,First Batch Statues and Sculptures,./0.png
77.5838686,12.9992815,"68",075.jpg,77.5838686,12.9992815,D:/Research Grant/Images First Batch\075.jpg,./Images First Batch/075.jpg,"<img src = ""./Images First Batch/075.jpg"" width=""300"" height=""225""/>",20220430_170824,Prof MD Nanjunda Swamy,Historic / Reformer,Traffic island ,"Adjacent to Ramanuja Udyanavana, Sankey road, Guttahalli, ","2017",Bronze,Kasturi Karnataka Janapara Vedike,,,,,First Batch Statues and Sculptures,./0.png
